File,Gold Standard Keywords
Board of Directors.md,"['instagram',  'board members',  'strategic guidance',  'pivotal rule', 'growth','success', 'chief financial officer', 'chief executive officer',  'director',  'company' ]"
"Diversity, Equity, and Inclusion.md","['diverse', 'equity', 'inclusive workplace', 'dei', 'broader community', 'diversity', 'culture', 'users', 'employees', 'employee resource']"
Balance Sheet.md,"['current assests', 'non-current assests', 'intangible assets', 'total assets', 'account payable', 'non-currrent liabilities', 'bonds payable', 'long-term loans', 'total liabilities', 'shareholders']"
employee_esop_Eva Kim.md,"['employee stock ownership', 'content moderation', 'voting rights', 'dividend', 'vesting schedule', 'fair market', 'ownership plan', 'allocation', 'responsibility', 'shares']"
employee_payslip_Ethan Rodriguez.md,"['employee payslip', 'security officer', 'allowance', 'basic salary', 'total earning', 'pay period', 'net pay', 'employee', 'insurance', 'deductions']"
Marketing Plan.md,"['social media marketing', 'advertising campaigns', 'engagement rates', 'advertising campaigns', 'website traffic', 'compelling content', 'influencer marketing trends', 'brand advocacy', 'storytelling strategies', 'regular performance tracking']"
Business Proposal.md,"['social media marketing', 'brand presence', 'visual content', 'strategic content creation', 'targeted audience analysis', 'influencer collaboration services', 'impactful partnerships', 'influencers', 'brands', 'marketing services']"
Tax Return.md,"['tax rate', 'total income', 'employment income', 'investment income', 'total deductions', 'business expenses', 'medical expenses', 'charitable contributions', 'taxable income', 'tax refund']"
employee_contract_David Lee.md,"['employment contract', 'administration', 'responsibilities', 'compliance', 'benefits', 'health insurance', 'intellectual property', 'interpreting data', 'instagram', 'retirement']"
Employee Handbook.md,"['employees', 'mission', 'discrimination', 'harassment', 'attendance', 'performance management', 'employee handbook', 'work environment free', 'retirement plans', 'mission']"
