Keywords,Person,Organization,Money,Contact_Number,Email Id,Date
"['instagram', 'services', 'social media marketing', 'media marketing', 'marketing services', 'company overview', 'business proposal', 'media', 'media marketing services', 'social media']",,['Instagram'],,,"['partnerships@instagram.com', 'business@instagram.com']",[]
"['marketing plan', 'social media marketing', 'content', 'media marketing', 'business document', 'document', 'document title', 'media marketing services', 'social media', 'marketing']","['Real-time monitoring of influencer performance and content engagement.\n\nPerformance Metrics:\n- Metrics include influencer reach, engagement rates, content virality, and brand sentiment.\n- Data']",['Instagram'],"['$15,000', '$20,000']",,,[]
"['implement new features', 'enhanced encryption features', 'analyze user behavior', 'direct messaging update', 'explore algorithm enhancement', 'user feedback analysis', 'added new interactive', 'instagram progress report', 'user adoption rate', 'develop content guidelines']",,"['Instagram', '|']","['$7,000', '$10,000', '$8,000 |\n', '$5,000']",['| -              |'],,[]
"['visual-based social media', 'instagram', 'instagram engineering', 'pioneering social app', 'introduction', 'visual-based social', 'connects users worldwide', 'leading visual-based', 'social media platform', 'leading visual-based social']",,"['Friendliness', '2010', 'Instagram', 'Facebook']",,,['support@instagram.com'],[]
"['sheryl sandberg chief', 'chris cox chief', 'chief financial officer', 'levine chief operating', 'chief operating officer', 'sandberg chief operating', 'chief product officer', 'marne levine chief', 'board', 'cox chief product']",,"['Facebook', 'Instagram']",,,,[]
"['inclusive', 'equity', 'employees', 'unconscious bias training', 'inclusion council', 'employee resource groups', 'promote diversity', 'inclusion', 'inclusive hiring practices', 'diversity']",['ERGs'],"['Fairness', 'Instagram', 'Initiatives']",,,,[]
"['instagram', 'instagram engineering', 'mark zuckerberg', 'marne levine', 'vishal shah', 'chief operating officer', 'kevin systrom', 'privately held company', 'chief operating', 'mike krieger']",,"['Facebook', 'Instagram', 'Krieger', 'Founder']",,,,[]
"['balance sheet', 'total liabilities', 'accrued expenses', 'non-current assets', 'short-term debt', 'prepaid expenses', 'total assets', 'current liabilities', 'current assets', 'total equity']",,,"['$100,000', '$50,000', '$25,000', '$10,000', '$15,000', '$185,000', '$285,000', '$435,000', '$150,000', '$200,000']",,,[]
"['income', 'operating', 'income statement', 'operating expenses', 'gross profit', 'net income', 'income taxes', 'sales revenue', 'operating income', 'goods sold']",,,"['$50,000', '$500,000', '$300,000', '$1,000,000', '$250,000', '$200,000']",,,"['January 1, 2023', 'December 31, 2023']"
"['income credit', 'state income', 'social security number', 'state income tax', 'student loan interest', 'earned income credit', 'federal income tax', 'income tax', 'local income tax', 'child tax credit']",,,,,,[]
"['employee', 'policies', 'effective', 'corporation', 'xyz corporation offers', 'handbook', 'xyz', 'employee handbook', 'effective date', 'xyz corporation']",,['XYZ Corporation'],,,,"['March 15, 2023']"
"['employee information', 'employee', 'ava thomas', 'providing administrative support', 'administrative support', 'employment contract', 'termination conditions', 'providing administrative', 'administrative assistant', 'intellectual property rights']",,['Instagram'],"['$65,000 per year']",,,"['October 1, 2022']"
"['employee information', 'interpreting data', 'employee', 'data analyst', 'data', 'employment contract', 'termination conditions', 'data analytics', 'david lee', 'intellectual property rights']",['David Lee'],['Instagram'],"['$110,000']",,,"['May 1, 2022']"
"['employee information', 'employee', 'intellectual property', 'designing user interfaces', 'designing user', 'emily brown', 'employment contract', 'termination conditions', 'confidentiality agreement', 'intellectual property rights']",['Emily Brown'],['Instagram'],"['$90,000 per year']",,,"['April 1, 2022']"
"['ethan rodriguez', 'employee information', 'security', 'employee', 'employment contract', 'termination conditions', 'company policies', 'security officer', 'confidentiality agreement', 'intellectual property rights']",,['Instagram'],"['$70,000 per year']",,,"['December 1, 2022']"
"['employee information', 'content moderator', 'employee', 'user-generated content', 'content', 'employment contract', 'termination conditions', 'eva kim', 'moderating user-generated content', 'intellectual property rights']",['June 1'],['Instagram'],"['$80,000 per year']",,,"['June 1, 2023']"
"['employee information', 'employee', 'marketing campaigns', 'executing marketing campaigns', 'employment contract', 'jane smith', 'executing marketing', 'marketing specialist', 'intellectual property rights', 'marketing']",['Jane Smith'],['Instagram'],"['$80,000 per year']",,,"['February 1, 2022']"
